Date  ,Concert  ,Venue  ,Location  
"Nov 04, 2019 ",King Princess / Girlpool ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Oct 30, 2019 ",Melanie Martinez / Lauren Ruth Ward ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Oct 29, 2019 ",Sum 41 / The Amity Affliction / The Plot In You  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Oct 29, 2019 ",Order In Decline Tour  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Oct 29, 2019 ",Sum 41 / The Amity Affliction ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Oct 29, 2019 ",Order In Decline World Tour  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Oct 29, 2019 ",Sum 41 / The Amity Affliction / The Plot In You ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Oct 27, 2019 ","Sleater-Kinney w/ Joseph Keckler at The Fillmore Philadelphia (October 27, 2019)  ",The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Oct 27, 2019 ",Sleater-Kinney / Joseph Keckler ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Jun 06, 2020 ",New Found Glory / Simple Plan / Knuckle Puck ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Apr 09, 2020 ",Morgan Wallen / Jon Langston / Ashland Craft ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Mar 27, 2020 ",Third Eye Blind / Saves The Day ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Mar 08, 2020 ",Silverstein 20 year tour  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Mar 08, 2020 ",Silverstein / Four Year Strong / I the Mighty ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Mar 08, 2020 ",Silverstein 20 Year Anniversary Tour  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Mar 08, 2020 ",Silverstein / Four Year Strong / I the Mighty ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Mar 08, 2020 ",20 Year Anniversary  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Mar 08, 2020 ",I the Mighty / Four Year Strong / Silverstein ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Mar 07, 2020 ",Fabolous ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Feb 22, 2020 ",Trippie Redd / Blocboy JB / Kodie Shane  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Feb 21, 2020 ",Lil Baby ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Feb 11, 2020 ",Rex Orange County ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Feb 10, 2020 ",Rex Orange County ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Feb 09, 2020 ",Tove Lo / ALMA  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Feb 09, 2020 ",Tove Lo / ALMA  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Jan 24, 2020 ",Grace Potter  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Jan 23, 2020 ",Diseased and Disguised Tour  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Jan 23, 2020 ",Motionless In White / Beartooth / Stick To Your Guns / Limbs ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Jan 23, 2020 ",Diseased and Disguised tour  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Jan 23, 2020 ",Motionless In White / Beartooth / Stick To Your Guns / Limbs ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Jan 23, 2020 ",Beartooth / Stick To Your Guns  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Jan 11, 2020 ",Don't Call It a Comeback Tour  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Jan 11, 2020 ",Motion City Soundtrack ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Jan 11, 2020 ",Motion City Soundtrack / Matt Kerekes  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Jan 11, 2020 ",Motion City Soundtrack  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Jan 11, 2020 ",Motion City Soundtrack / Mat Kerekes / Thin Lips ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
